frame_number,write_time_unix,sensor_timestamp_ns,dropped_since_last,total_hardware_drops
0,1760540238.978987,2925417037000,0,0
1,1760540239.008049,2925450355000,0,0
2,1760540239.053648,2925483687000,0,0
3,1760540239.074656,2925516995000,0,0
4,1760540239.094630,2925550307000,0,0
5,1760540239.140370,2925583628000,0,0
6,1760540239.157610,2925616949000,0,0
7,1760540239.180429,2925650265000,0,0
8,1760540239.214845,2925683573000,0,0
9,1760540239.248631,2925716901000,0,0
10,1760540239.280544,2925750209000,0,0
11,1760540239.311712,2925783528000,0,0
12,1760540239.348797,2925816846000,0,0
13,1760540239.378395,2925850161000,0,0
14,1760540239.425552,2925883482000,0,0
15,1760540239.450832,2925916806000,0,0
16,1760540239.478139,2925950117000,0,0
17,1760540239.514122,2925983433000,0,0
18,1760540239.547354,2926016749000,0,0
19,1760540239.579246,2926050071000,0,0
20,1760540239.612583,2926083387000,0,0
21,1760540239.649329,2926116707000,0,0
22,1760540239.680980,2926150026000,0,0
23,1760540239.713698,2926183343000,0,0
24,1760540239.751954,2926216660000,0,0
25,1760540239.779959,2926249980000,0,0
26,1760540239.812470,2926283297000,0,0
27,1760540239.849715,2926316614000,0,0
28,1760540239.876596,2926349934000,0,0
29,1760540239.910795,2926383252000,0,0
30,1760540239.953023,2926416569000,0,0
31,1760540239.982309,2926449906000,0,0
32,1760540240.013257,2926483206000,0,0
33,1760540240.051530,2926516523000,0,0
34,1760540240.078817,2926549848000,0,0
35,1760540240.113728,2926583161000,0,0
36,1760540240.149732,2926616476000,0,0
37,1760540240.178977,2926649796000,0,0
38,1760540240.212249,2926683114000,0,0
39,1760540240.252156,2926716437000,0,0
40,1760540240.278701,2926749775000,0,0
41,1760540240.311009,2926783066000,0,0
42,1760540240.349553,2926816386000,0,0
43,1760540240.378300,2926849703000,0,0
44,1760540240.409712,2926883023000,0,0
45,1760540240.448507,2926916337000,0,0
46,1760540240.476871,2926949669000,0,0
47,1760540240.509930,2926982975000,0,0
48,1760540240.549842,2927016291000,0,0
49,1760540240.579920,2927049622000,0,0
50,1760540240.614222,2927082930000,0,0
51,1760540240.648709,2927116247000,0,0
52,1760540240.681932,2927149577000,0,0
53,1760540240.710523,2927182885000,0,0
54,1760540240.751347,2927216201000,0,0
55,1760540240.777858,2927249529000,0,0
56,1760540240.811346,2927282837000,0,0
57,1760540240.849970,2927316154000,0,0
58,1760540240.876487,2927349483000,0,0
59,1760540240.910812,2927382790000,0,0
60,1760540240.948655,2927416107000,0,0
61,1760540240.976451,2927449434000,0,0
62,1760540241.009655,2927482744000,0,0
63,1760540241.050523,2927516060000,0,0
64,1760540241.077193,2927549388000,0,0
65,1760540241.111458,2927582699000,0,0
66,1760540241.147396,2927616016000,0,0
67,1760540241.176142,2927649343000,0,0
68,1760540241.210722,2927682652000,0,0
69,1760540241.250349,2927715982000,0,0
70,1760540241.276593,2927749292000,0,0
71,1760540241.310488,2927782606000,0,0
72,1760540241.348367,2927815925000,0,0
73,1760540241.377711,2927849243000,0,0
74,1760540241.412476,2927882561000,0,0
75,1760540241.449120,2927915878000,0,0
76,1760540241.477650,2927949195000,0,0
77,1760540241.512553,2927982515000,0,0
78,1760540241.551885,2928015834000,0,0
79,1760540241.578433,2928049158000,0,0
80,1760540241.609493,2928082471000,0,0
81,1760540241.649072,2928115787000,0,0
82,1760540241.676607,2928149109000,0,0
83,1760540241.710891,2928182423000,0,0
84,1760540241.752061,2928215742000,0,0
85,1760540241.780529,2928249060000,0,0
86,1760540241.809771,2928282380000,0,0
87,1760540241.851008,2928315695000,0,0
88,1760540241.877024,2928349015000,0,0
89,1760540241.909465,2928382331000,0,0
90,1760540241.952264,2928415649000,0,0
91,1760540241.976855,2928448967000,0,0
92,1760540242.012466,2928482284000,0,0
93,1760540242.052725,2928515602000,0,0
94,1760540242.076032,2928548920000,0,0
95,1760540242.112535,2928582237000,0,0
96,1760540242.151298,2928615556000,0,0
97,1760540242.179154,2928648875000,0,0
98,1760540242.213453,2928682193000,0,0
99,1760540242.257418,2928715510000,0,0
100,1760540242.278957,2928748828000,0,0
101,1760540242.311692,2928782147000,0,0
102,1760540242.354302,2928815465000,0,0
103,1760540242.380519,2928848847000,0,0
104,1760540242.409862,2928882101000,0,0
105,1760540242.442699,2928915418000,0,0
106,1760540242.479734,2928948735000,0,0
107,1760540242.509609,2928982055000,0,0
108,1760540242.555673,2929015372000,0,0
109,1760540242.581059,2929048691000,0,0
110,1760540242.609390,2929082010000,0,0
111,1760540242.642190,2929115328000,0,0
112,1760540242.681030,2929148644000,0,0
113,1760540242.714214,2929181964000,0,0
114,1760540242.755546,2929215282000,0,0
115,1760540242.783902,2929248601000,0,0
116,1760540242.822977,2929281918000,0,0
117,1760540242.865797,2929315235000,0,0
118,1760540242.891088,2929348566000,0,0
119,1760540242.943804,2929381877000,0,0
120,1760540243.370689,2929415196000,0,0
124,1760540243.454728,2929548468000,0,0
130,1760540243.520565,2929748377000,5,5
135,1760540243.568151,2929914963000,4,9
137,1760540243.584708,2929981597000,1,10
138,1760540243.586182,2930014925000,0,10
139,1760540243.586923,2930048238000,0,10
140,1760540243.615760,2930081561000,0,10
141,1760540243.648644,2930114867000,0,10
142,1760540243.675504,2930148185000,0,10
143,1760540243.708432,2930181504000,0,10
144,1760540243.747257,2930214822000,0,10
145,1760540243.776827,2930248150000,0,10
146,1760540243.811728,2930281456000,0,10
147,1760540243.846126,2930314775000,0,10
148,1760540243.878703,2930348093000,0,10
149,1760540243.908970,2930381411000,0,10
150,1760540243.945465,2930414727000,0,10
151,1760540243.975284,2930448048000,0,10
152,1760540244.008913,2930481365000,0,10
153,1760540244.046375,2930514686000,0,10
154,1760540244.079769,2930548000000,0,10
155,1760540244.115470,2930581320000,0,10
156,1760540244.155600,2930614646000,0,10
157,1760540244.185461,2930647958000,0,10
158,1760540244.217524,2930681281000,0,10
159,1760540244.249586,2930714593000,0,10
160,1760540244.279162,2930747909000,0,10
161,1760540244.312507,2930781227000,0,10
162,1760540244.351200,2930814546000,0,10
163,1760540244.379928,2930847868000,0,10
164,1760540244.408532,2930881194000,0,10
165,1760540244.445325,2930914498000,0,10
166,1760540244.478254,2930947819000,0,10
167,1760540244.511117,2930981139000,0,10
168,1760540244.549317,2931014455000,0,10
169,1760540244.581256,2931047773000,0,10
170,1760540244.608148,2931081090000,0,10
171,1760540244.652655,2931114407000,0,10
172,1760540244.675393,2931147726000,0,10
173,1760540244.709244,2931181045000,0,10
174,1760540244.748543,2931214361000,0,10
175,1760540244.774673,2931247681000,0,10
176,1760540244.809558,2931280998000,0,10
177,1760540244.846963,2931314317000,0,10
178,1760540244.876745,2931347634000,0,10
179,1760540244.909023,2931380951000,0,10
180,1760540244.945008,2931414266000,0,10
181,1760540244.974856,2931447590000,0,10
182,1760540245.008342,2931480904000,0,10
183,1760540245.050619,2931514223000,0,10
184,1760540245.076467,2931547542000,0,10
185,1760540245.112281,2931580857000,0,10
186,1760540245.151710,2931614178000,0,10
187,1760540245.178981,2931647506000,0,10
188,1760540245.212453,2931680812000,0,10
189,1760540245.248375,2931714131000,0,10
190,1760540245.275629,2931747450000,0,10
191,1760540245.307360,2931780767000,0,10
192,1760540245.350569,2931814085000,0,10
193,1760540245.380849,2931847402000,0,10
194,1760540245.412113,2931880729000,0,10
195,1760540245.454638,2931914041000,0,10
