frame_number,write_time_unix,sensor_timestamp_ns,dropped_since_last,total_hardware_drops
0,1760540238.882816,2925340596000,0,0
1,1760540238.925106,2925373914000,0,0
2,1760540238.952147,2925407243000,0,0
3,1760540239.007024,2925440553000,0,0
4,1760540239.053553,2925473879000,0,0
5,1760540239.055028,2925507197000,0,0
6,1760540239.094551,2925540515000,0,0
7,1760540239.114971,2925573825000,0,0
8,1760540239.142708,2925607150000,0,0
9,1760540239.175518,2925640469000,0,0
10,1760540239.200456,2925673787000,0,0
11,1760540239.239336,2925707106000,0,0
12,1760540239.269636,2925740422000,0,0
13,1760540239.303647,2925773747000,0,0
14,1760540239.339959,2925807057000,0,0
15,1760540239.367836,2925840375000,0,0
16,1760540239.400570,2925873685000,0,0
17,1760540239.446533,2925907010000,0,0
18,1760540239.467277,2925940323000,0,0
19,1760540239.500063,2925973644000,0,0
20,1760540239.536410,2926006963000,0,0
21,1760540239.566918,2926040276000,0,0
22,1760540239.599190,2926073597000,0,0
23,1760540239.638344,2926106928000,0,0
24,1760540239.669787,2926140235000,0,0
25,1760540239.703407,2926173553000,0,0
26,1760540239.747403,2926206877000,0,0
27,1760540239.768610,2926240192000,0,0
28,1760540239.800591,2926273510000,0,0
29,1760540239.836465,2926306828000,0,0
30,1760540239.866809,2926340142000,0,0
31,1760540239.901810,2926373474000,0,0
32,1760540239.948878,2926406782000,0,0
33,1760540239.969778,2926440098000,0,0
34,1760540240.000868,2926473412000,0,0
35,1760540240.047428,2926506742000,0,0
36,1760540240.069441,2926540055000,0,0
37,1760540240.099466,2926573370000,0,0
38,1760540240.139268,2926606689000,0,0
39,1760540240.166688,2926640018000,0,0
40,1760540240.200298,2926673326000,0,0
41,1760540240.241023,2926706647000,0,0
42,1760540240.267469,2926739963000,0,0
43,1760540240.300271,2926773279000,0,0
44,1760540240.337392,2926806603000,0,0
45,1760540240.366946,2926839913000,0,0
46,1760540240.399307,2926873232000,0,0
47,1760540240.447846,2926906554000,0,0
48,1760540240.468052,2926939875000,0,0
49,1760540240.500198,2926973186000,0,0
50,1760540240.548847,2927006504000,0,0
51,1760540240.567088,2927039824000,0,0
52,1760540240.599723,2927073143000,0,0
53,1760540240.646753,2927106458000,0,0
54,1760540240.669299,2927139776000,0,0
55,1760540240.699508,2927173092000,0,0
56,1760540240.750258,2927206411000,0,0
57,1760540240.767010,2927239724000,0,0
58,1760540240.800546,2927273046000,0,0
59,1760540240.832279,2927306367000,0,0
60,1760540240.866056,2927339706000,0,0
61,1760540240.899824,2927373003000,0,0
62,1760540240.946843,2927406324000,0,0
63,1760540240.966072,2927439631000,0,0
64,1760540240.999187,2927472959000,0,0
65,1760540241.046047,2927506272000,0,0
66,1760540241.066619,2927539591000,0,0
67,1760540241.098811,2927572910000,0,0
68,1760540241.131664,2927606232000,0,0
69,1760540241.165789,2927639550000,0,0
70,1760540241.200445,2927672867000,0,0
71,1760540241.249507,2927706185000,0,0
72,1760540241.266006,2927739505000,0,0
73,1760540241.300317,2927772817000,0,0
74,1760540241.346328,2927806137000,0,0
75,1760540241.367911,2927839452000,0,0
76,1760540241.400255,2927872769000,0,0
77,1760540241.448665,2927906094000,0,0
78,1760540241.472902,2927939417000,0,0
79,1760540241.500190,2927972730000,0,0
80,1760540241.549365,2928006041000,0,0
81,1760540241.566230,2928039358000,0,0
82,1760540241.600096,2928072678000,0,0
83,1760540241.632077,2928105996000,0,0
84,1760540241.667126,2928139317000,0,0
85,1760540241.700695,2928172632000,0,0
86,1760540241.733055,2928205951000,0,0
