frame_number,write_time_unix,sensor_timestamp_ns,dropped_since_last,total_hardware_drops
653,1761172134.299154,29056002539000,0,0
658,1761172134.472773,29056169122000,4,4
664,1761172134.634687,29056369028000,5,9
670,1761172134.725714,29056568927000,5,14
675,1761172134.753209,29056735524000,4,18
677,1761172134.888001,29056802155000,1,19
681,1761172134.992233,29056935438000,3,22
683,1761172135.074339,29057002056000,1,23
686,1761172135.129804,29057102017000,2,25
688,1761172135.210007,29057168645000,1,26
690,1761172135.229028,29057235276000,1,27
692,1761172135.231184,29057301921000,1,28
693,1761172135.324919,29057335237000,0,28
694,1761172135.340933,29057368547000,0,28
696,1761172135.342374,29057435181000,1,29
697,1761172135.428881,29057468499000,0,29
699,1761172135.515728,29057535136000,1,30
701,1761172135.517367,29057601766000,1,31
702,1761172135.547876,29057635084000,0,31
703,1761172135.604039,29057668405000,0,31
704,1761172135.610606,29057701724000,0,31
705,1761172135.642431,29057735038000,0,31
706,1761172135.761841,29057768356000,0,31
708,1761172135.775611,29057834985000,1,32
709,1761172135.985617,29057868310000,0,32
713,1761172136.006482,29058001579000,3,35
716,1761172136.013490,29058101530000,2,37
717,1761172136.038685,29058134842000,0,37
718,1761172136.155216,29058168169000,0,37
720,1761172136.216316,29058234793000,1,38
721,1761172136.240483,29058268113000,0,38
722,1761172136.256810,29058301431000,0,38
723,1761172136.260833,29058334770000,0,38
724,1761172136.317004,29058368071000,0,38
725,1761172136.321260,29058401390000,0,38
726,1761172136.341775,29058434703000,0,38
727,1761172136.470086,29058468061000,0,38
729,1761172136.477356,29058534648000,1,39
730,1761172136.563745,29058567974000,0,39
731,1761172136.595785,29058601294000,0,39
733,1761172136.681058,29058667921000,1,40
734,1761172136.684622,29058701247000,0,40
737,1761172136.816568,29058801192000,2,42
738,1761172136.908901,29058834516000,0,42
741,1761172136.928582,29058934460000,2,44
743,1761172136.935117,29059001101000,1,45
744,1761172137.104024,29059034413000,0,45
747,1761172137.126257,29059134371000,2,47
748,1761172137.128042,29059167678000,0,47
749,1761172137.307409,29059201002000,0,47
751,1761172137.385275,29059267643000,1,48
755,1761172137.409057,29059400907000,3,51
756,1761172137.470482,29059434238000,0,51
758,1761172137.478117,29059500856000,1,52
759,1761172137.498551,29059534174000,0,52
761,1761172137.611368,29059600805000,1,53
764,1761172137.615047,29059700773000,2,55
765,1761172137.713421,29059734092000,0,55
767,1761172137.714992,29059800723000,1,56
768,1761172137.802128,29059834031000,0,56
770,1761172137.835505,29059900662000,1,57
771,1761172138.056848,29059933985000,0,57
775,1761172138.081329,29060067254000,3,60
778,1761172138.149525,29060167209000,2,62
779,1761172138.205327,29060200532000,0,62
781,1761172138.279266,29060267160000,1,63
782,1761172138.286984,29060300478000,0,63
784,1761172138.298707,29060367110000,1,64
785,1761172138.392126,29060400426000,0,64
786,1761172138.398394,29060433745000,0,64
788,1761172138.663716,29060500384000,1,65
793,1761172138.683657,29060666973000,4,69
796,1761172138.698672,29060766918000,2,71
797,1761172138.808269,29060800241000,0,71
800,1761172138.951792,29060900190000,2,73
802,1761172138.957278,29060966818000,1,74
804,1761172139.042445,29061033464000,1,75
805,1761172139.069857,29061066778000,0,75
807,1761172139.175235,29061133434000,1,76
808,1761172139.182912,29061166731000,0,76
811,1761172139.183573,29061266680000,2,78
812,1761172139.367177,29061300002000,0,78
815,1761172139.395017,29061399947000,2,80
817,1761172139.402287,29061466587000,1,81
820,1761172139.558925,29061566534000,1,82
818,1761172139.560423,29061499903000,0,82
823,1761172139.671913,29061666496000,2,84
825,1761172139.916520,29061733125000,1,85
829,1761172140.026448,29061866395000,3,88
832,1761172140.061237,29061966343000,2,90
835,1761172140.186367,29062066299000,2,92
840,1761172140.308736,29062232881000,4,96
844,1761172140.428947,29062366153000,3,99
849,1761172140.522979,29062532742000,4,103
850,1761172140.560896,29062566056000,0,103
851,1761172140.632186,29062599379000,0,103
853,1761172140.644603,29062666007000,1,104
855,1761172140.660839,29062732645000,1,105
856,1761172140.749796,29062765960000,0,105
858,1761172140.764845,29062832598000,1,106
859,1761172140.954144,29062865911000,0,106
862,1761172141.024194,29062965859000,2,108
864,1761172141.166312,29063032504000,1,109
867,1761172141.304305,29063132461000,2,111
871,1761172141.406770,29063265733000,3,114
875,1761172141.411172,29063398994000,3,117
876,1761172141.479529,29063432309000,0,117
878,1761172141.497165,29063498947000,1,118
879,1761172141.502148,29063532264000,0,118
881,1761172141.503196,29063598892000,1,119
882,1761172141.537986,29063632215000,0,119
883,1761172141.625099,29063665542000,0,119
885,1761172141.630530,29063732165000,1,120
886,1761172141.653374,29063765484000,0,120
887,1761172141.714952,29063798810000,0,120
888,1761172141.733021,29063832117000,0,120
889,1761172141.831029,29063865434000,0,120
890,1761172141.834927,29063898752000,0,120
891,1761172141.858638,29063932071000,0,120
892,1761172142.067949,29063965395000,0,120
894,1761172142.089230,29064032059000,1,121
898,1761172142.237947,29064165295000,3,124
901,1761172142.459960,29064265243000,2,126
906,1761172142.502796,29064431846000,4,130
910,1761172142.599362,29064565105000,3,133
912,1761172142.631283,29064631737000,1,134
914,1761172142.736685,29064698372000,1,135
915,1761172142.834774,29064731690000,0,135
918,1761172142.867501,29064831654000,2,137
922,1761172142.868323,29064964906000,3,140
923,1761172142.956110,29064998230000,0,140
924,1761172142.962044,29065031543000,0,140
925,1761172143.076784,29065064857000,0,140
928,1761172143.170182,29065164816000,2,142
929,1761172143.201760,29065198135000,0,142
931,1761172143.211685,29065264762000,1,143
932,1761172143.297818,29065298083000,0,143
933,1761172143.324508,29065331408000,0,143
935,1761172143.389354,29065398040000,1,144
936,1761172143.394616,29065431363000,0,144
937,1761172143.417521,29065464676000,0,144
938,1761172143.447642,29065497989000,0,144
939,1761172143.637693,29065531307000,0,144
942,1761172143.648535,29065631259000,2,146
945,1761172143.767613,29065731209000,2,148
947,1761172143.793018,29065797845000,1,149
949,1761172144.031669,29065864483000,1,150
953,1761172144.135393,29065997751000,3,153
957,1761172144.192035,29066131018000,3,156
960,1761172144.259834,29066230969000,2,158
962,1761172144.314675,29066297606000,1,159
964,1761172144.394841,29066364245000,1,160
965,1761172144.427310,29066397560000,0,160
968,1761172144.508800,29066497514000,2,162
969,1761172144.547223,29066530832000,0,162
971,1761172144.632273,29066597463000,1,163
975,1761172144.734243,29066730730000,3,166
976,1761172144.769184,29066764052000,0,166
977,1761172144.774279,29066797369000,0,166
978,1761172144.848830,29066830691000,0,166
979,1761172144.885307,29066864003000,0,166
981,1761172144.992609,29066930638000,1,167
983,1761172145.061347,29066997281000,1,168
985,1761172145.081475,29067063918000,1,169
987,1761172145.083249,29067130542000,1,170
988,1761172145.219163,29067163863000,0,170
989,1761172145.288290,29067197180000,0,170
992,1761172145.296227,29067297129000,2,172
995,1761172145.529022,29067397085000,2,174
999,1761172145.667943,29067530351000,3,177
1005,1761172145.899960,29067730259000,5,182
1011,1761172146.003908,29067930160000,5,187
1015,1761172146.145296,29068063438000,3,190
1019,1761172146.243493,29068196701000,3,193
1020,1761172146.384137,29068230014000,0,193
1023,1761172146.387850,29068329964000,2,195
1027,1761172146.485574,29068463240000,3,198
1030,1761172146.486900,29068563189000,2,200
1031,1761172146.599706,29068596511000,0,200
1034,1761172146.700875,29068696460000,2,202
1037,1761172146.800254,29068796414000,2,204
1040,1761172146.813612,29068896362000,2,206
1041,1761172146.902758,29068929681000,0,206
1043,1761172146.997170,29068996314000,1,207
1046,1761172147.157279,29069096282000,2,209
1049,1761172147.241359,29069196233000,2,211
1051,1761172147.283261,29069262851000,1,212
1054,1761172147.367499,29069362808000,2,214
1057,1761172147.426605,29069462761000,1,215
1055,1761172147.427516,29069396123000,0,215
1059,1761172147.532636,29069529393000,1,216
1062,1761172147.597419,29069629344000,2,218
1063,1761172147.634952,29069662662000,0,218
1064,1761172147.638804,29069695977000,0,218
1065,1761172147.757652,29069729300000,0,218
1066,1761172148.236018,29069762617000,0,218
1069,1761172148.239944,29069862579000,2,220
1081,1761172148.536563,29070262378000,11,231
1089,1761172148.986864,29070528908000,7,238
1092,1761172148.992254,29070628876000,2,240
1097,1761172149.092621,29070795454000,4,244
1104,1761172149.204550,29071028678000,6,250
1109,1761172149.279248,29071195262000,4,254
1112,1761172149.399834,29071295215000,2,256
1113,1761172149.520775,29071328535000,0,256
1115,1761172149.545668,29071395168000,1,257
1119,1761172149.792705,29071528440000,3,260
1122,1761172149.804350,29071628392000,2,262
1126,1761172149.827586,29071761663000,3,265
1130,1761172150.054033,29071894959000,3,268
1135,1761172150.106326,29072061514000,4,272
1138,1761172150.180121,29072161469000,2,274
1140,1761172150.221077,29072228102000,1,275
1142,1761172150.314252,29072294741000,1,276
1143,1761172150.364721,29072328062000,0,276
1145,1761172150.520343,29072394702000,1,277
1147,1761172150.617011,29072461332000,1,278
1152,1761172150.661485,29072627932000,4,282
1154,1761172150.777196,29072694551000,1,283
1156,1761172150.780216,29072761181000,1,284
1160,1761172150.932193,29072894453000,3,287
1163,1761172151.040302,29072994403000,2,289
1167,1761172151.180211,29073127673000,3,292
1170,1761172151.390507,29073227636000,2,294
1176,1761172151.444822,29073427534000,5,299
1178,1761172151.549672,29073494162000,1,300
1180,1761172151.581614,29073560802000,1,301
1183,1761172151.682457,29073660753000,2,303
1184,1761172151.739214,29073694069000,0,303
1187,1761172151.815742,29073794016000,2,305
1188,1761172151.871016,29073827352000,0,305
1191,1761172151.986960,29073927290000,2,307
1192,1761172152.150198,29073960609000,0,307
1193,1761172152.175314,29073993927000,0,307
1196,1761172152.350438,29074093877000,2,312
1200,1761172152.358856,29074227146000,3,312
1204,1761172152.407546,29074360426000,3,315
1207,1761172152.475794,29074460368000,2,317
1208,1761172152.516694,29074493691000,0,317
1211,1761172152.562906,29074593637000,2,319
1212,1761172152.662576,29074626959000,0,319
1213,1761172152.757861,29074660275000,0,321
1216,1761172152.764314,29074760227000,2,321
1219,1761172152.869320,29074860186000,2,323
1220,1761172152.958289,29074893495000,0,323
1222,1761172152.968853,29074960131000,1,324
1223,1761172152.977025,29074993447000,0,324
1227,1761172153.067437,29075126723000,0,326
1226,1761172153.067746,29075093397000,2,326
1228,1761172153.114882,29075160044000,0,326
1230,1761172153.171258,29075226668000,1,327
1232,1761172153.186720,29075293309000,1,328
1233,1761172153.282148,29075326626000,0,328
1235,1761172153.327651,29075393267000,1,329
1236,1761172153.380754,29075426578000,0,329
1237,1761172153.398741,29075459904000,0,329
1238,1761172153.490160,29075493211000,0,329
1241,1761172153.500872,29075593162000,2,331
1242,1761172153.621710,29075626481000,0,331
1243,1761172153.652487,29075659799000,0,332
1245,1761172153.653333,29075726435000,1,332
1246,1761172153.835876,29075759755000,0,332
1247,1761172153.838691,29075793064000,0,332
1249,1761172153.840953,29075859699000,1,333
1251,1761172154.105955,29075926340000,1,334
1256,1761172154.141868,29076092948000,4,338
1259,1761172154.247937,29076192868000,2,340
1260,1761172154.251787,29076226193000,0,340
1264,1761172154.390774,29076359466000,3,343
1266,1761172154.466094,29076426103000,1,344
