frame_number,write_time_unix,sensor_timestamp_ns,dropped_since_last,total_hardware_drops
1169,1761172151.390390,29073268040000,0,306
1173,1761172151.432459,29073401310000,3,309
1174,1761172151.534701,29073434624000,0,309
1176,1761172151.577415,29073501261000,1,310
1178,1761172151.674738,29073567908000,1,311
1180,1761172151.737629,29073634528000,1,312
1185,1761172151.815987,29073801118000,4,316
1186,1761172151.869508,29073834436000,0,316
1187,1761172151.875310,29073867757000,0,316
1189,1761172152.175422,29073934389000,1,317
1193,1761172152.350363,29074067653000,3,320
1198,1761172152.398647,29074234254000,4,324
1202,1761172152.476064,29074367515000,3,327
1205,1761172152.516653,29074467469000,2,329
1209,1761172152.662498,29074600733000,3,332
1210,1761172152.758692,29074634063000,0,332
1214,1761172152.844205,29074767320000,3,335
1217,1761172152.877891,29074867274000,2,337
1220,1761172152.968649,29074967223000,2,339
1221,1761172152.976639,29075000547000,0,339
1223,1761172153.028490,29075067178000,1,340
1224,1761172153.067500,29075100504000,0,340
1225,1761172153.067692,29075133817000,0,340
1226,1761172153.069889,29075167139000,0,340
1227,1761172153.114387,29075200446000,0,340
1228,1761172153.174529,29075233768000,0,340
1229,1761172153.186930,29075267087000,0,340
1230,1761172153.282792,29075300407000,0,340
1232,1761172153.290067,29075367033000,1,341
1233,1761172153.328046,29075400349000,0,341
1234,1761172153.381792,29075433674000,0,341
1235,1761172153.382509,29075466990000,0,341
1236,1761172153.421119,29075500308000,0,341
1237,1761172153.491206,29075533633000,0,341
1239,1761172153.621513,29075600254000,1,342
1241,1761172153.647701,29075666892000,1,343
1243,1761172153.767172,29075733524000,1,344
1244,1761172153.839186,29075766842000,0,344
1246,1761172153.840348,29075833481000,1,345
1248,1761172154.085397,29075900114000,1,346
1253,1761172154.133177,29076066706000,4,350
1257,1761172154.248233,29076199990000,3,353
1258,1761172154.344862,29076233286000,0,353
1261,1761172154.390887,29076333254000,2,355
1265,1761172154.460549,29076466513000,3,358
1266,1761172154.485554,29076499830000,0,358
1268,1761172154.569822,29076566469000,1,359
1271,1761172154.590054,29076666413000,2,361
1272,1761172154.842242,29076699743000,0,361
1276,1761172154.915751,29076833010000,3,364
1279,1761172154.967948,29076932955000,2,366
1281,1761172155.087824,29076999589000,1,367
1282,1761172155.213132,29077032912000,0,367
1283,1761172155.302857,29077066225000,0,367
1286,1761172155.315950,29077166175000,2,369
1290,1761172155.524741,29077299448000,3,372
1296,1761172155.571269,29077499352000,5,377
1299,1761172155.699643,29077599298000,2,379
1301,1761172155.806605,29077665940000,1,380
1305,1761172155.912951,29077799205000,3,383
1308,1761172155.969897,29077899155000,2,385
1311,1761172156.127228,29077999118000,2,387
1313,1761172156.246254,29078065750000,1,388
1317,1761172156.371343,29078199015000,3,391
1321,1761172156.430584,29078332284000,3,394
1325,1761172156.568480,29078465559000,3,397
1326,1761172156.669346,29078498871000,0,397
1330,1761172156.719781,29078632144000,3,400
1334,1761172156.832716,29078765414000,3,403
1339,1761172156.970592,29078932046000,2,406
1336,1761172156.970695,29078832050000,1,406
1343,1761172157.182237,29079065267000,3,409
1346,1761172157.206306,29079165217000,2,411
1349,1761172157.332170,29079265169000,2,413
1353,1761172157.467569,29079398442000,3,416
1357,1761172157.611761,29079531718000,3,419
1358,1761172157.725201,29079565047000,0,419
1363,1761172157.747923,29079731623000,4,423
1365,1761172157.754927,29079798253000,1,424
1366,1761172158.051620,29079831575000,0,424
1370,1761172158.158135,29079964842000,3,427
1375,1761172158.184181,29080131426000,4,431
1378,1761172158.296124,29080231382000,2,433
1379,1761172158.378990,29080264698000,0,433
1383,1761172158.397947,29080397968000,3,436
1386,1761172158.452070,29080497921000,0,436
1385,1761172158.453909,29080464600000,1,437
1388,1761172158.573919,29080564554000,1,438
1390,1761172158.636879,29080631198000,1,439
1391,1761172158.644713,29080664507000,0,439
1393,1761172158.679682,29080731139000,1,440
1395,1761172158.777310,29080797772000,1,441
1397,1761172158.846157,29080864413000,1,442
1398,1761172158.848113,29080897728000,0,442
1399,1761172159.031724,29080931043000,0,442
1401,1761172159.200945,29080997678000,1,443
1404,1761172159.371081,29081097639000,2,445
1408,1761172159.460031,29081230919000,3,448
1415,1761172159.596493,29081464121000,6,454
1419,1761172159.731774,29081597394000,3,457
1422,1761172159.907462,29081697347000,2,459
1427,1761172160.042453,29081863937000,4,463
1431,1761172160.121015,29081997198000,3,466
1435,1761172160.151340,29082130515000,3,469
1438,1761172160.185596,29082230425000,2,471
1439,1761172160.277909,29082263740000,0,471
1440,1761172160.302268,29082297064000,0,471
1442,1761172160.303497,29082363698000,1,472
1444,1761172160.389128,29082430326000,1,473
1445,1761172160.413448,29082463647000,0,473
1446,1761172160.497274,29082496967000,0,473
1447,1761172160.522666,29082530282000,0,473
1449,1761172161.422011,29082596930000,1,474
1450,1761172161.442023,29082630230000,0,474
1463,1761172161.617063,29083063360000,12,486
1476,1761172161.804565,29083496487000,12,498
1483,1761172162.165847,29083729713000,6,504
1488,1761172162.188275,29083896296000,4,508
1496,1761172162.261348,29084162836000,7,515
1499,1761172162.379585,29084262797000,2,517
1501,1761172162.445822,29084329439000,1,518
1505,1761172162.479356,29084462690000,3,521
1508,1761172162.598919,29084562646000,2,523
1509,1761172162.617454,29084595962000,0,523
1512,1761172162.700495,29084695916000,2,525
1513,1761172162.740379,29084729230000,0,525
1515,1761172162.799238,29084795865000,1,526
1516,1761172162.808241,29084829185000,0,526
1517,1761172162.821918,29084862500000,0,526
1519,1761172162.980229,29084929134000,1,527
1520,1761172163.118453,29084962452000,0,527
1523,1761172163.225159,29085062405000,2,529
1524,1761172163.232101,29085095726000,0,529
1527,1761172163.292491,29085195676000,2,531
1530,1761172163.323471,29085295632000,2,533
1531,1761172163.506741,29085328947000,0,533
1535,1761172163.613841,29085462221000,3,536
1539,1761172163.648892,29085595488000,3,539
1542,1761172163.742287,29085695440000,2,541
1543,1761172163.853409,29085728752000,0,541
1546,1761172163.877525,29085828709000,2,543
1549,1761172164.178869,29085928663000,2,545
1550,1761172164.191579,29085961981000,0,545
1556,1761172164.283942,29086161884000,5,550
1559,1761172164.347249,29086261836000,2,552
1562,1761172164.456574,29086361790000,2,554
1564,1761172164.549607,29086428426000,1,555
1567,1761172164.608551,29086528372000,2,557
1571,1761172164.700491,29086661642000,3,560
1573,1761172164.748294,29086728288000,1,561
1575,1761172164.834028,29086794920000,1,562
1576,1761172164.857895,29086828237000,0,562
1579,1761172164.974996,29086928183000,2,564
1581,1761172164.976270,29086994818000,1,565
1582,1761172165.201968,29087028138000,0,565
1586,1761172165.231339,29087161404000,3,568
1589,1761172165.345452,29087261356000,2,570
1593,1761172165.446693,29087394629000,3,573
1596,1761172165.453922,29087494596000,2,575
1598,1761172165.548125,29087561219000,1,576
1600,1761172165.672152,29087627860000,1,577
1603,1761172165.739335,29087727800000,2,579
1605,1761172165.771474,29087794445000,1,580
1606,1761172165.775954,29087827751000,0,580
1608,1761172165.983325,29087894394000,1,581
1611,1761172166.029749,29087994348000,2,583
1613,1761172166.158884,29088060977000,1,584
1615,1761172166.180356,29088127618000,1,585
1619,1761172166.271539,29088260887000,3,588
1623,1761172166.300144,29088394149000,3,591
1624,1761172166.375911,29088427470000,0,591
1626,1761172166.595559,29088494132000,1,592
1629,1761172166.607587,29088594057000,2,594
1632,1761172166.710727,29088694005000,2,596
1633,1761172166.720718,29088727328000,0,596
1636,1761172166.797174,29088827289000,2,598
1638,1761172166.821219,29088893919000,1,599
1639,1761172166.930700,29088927234000,0,599
1640,1761172166.932879,29088960548000,0,599
1642,1761172167.051006,29089027185000,1,600
1645,1761172167.133663,29089127135000,2,602
1646,1761172167.151871,29089160463000,0,602
1648,1761172167.222792,29089227096000,1,603
1651,1761172167.237151,29089327045000,2,605
1652,1761172167.362941,29089360354000,0,605
1653,1761172167.369175,29089393673000,0,605
1655,1761172167.490568,29089460309000,1,606
1658,1761172167.564354,29089560269000,2,608
1659,1761172167.595656,29089593585000,0,608
1661,1761172167.678747,29089660214000,1,609
1664,1761172167.825787,29089760162000,2,611
1666,1761172167.833740,29089826800000,1,612
1667,1761172167.999531,29089860115000,0,612
1669,1761172168.159227,29089926752000,1,613
1675,1761172168.282851,29090126662000,5,618
1679,1761172168.551231,29090259933000,3,621
1682,1761172168.578010,29090359895000,2,623
1688,1761172168.619878,29090559784000,5,628
1691,1761172168.731801,29090659738000,2,630
1693,1761172168.956690,29090726378000,1,631
1695,1761172168.984338,29090793014000,1,632
1699,1761172169.024141,29090926284000,3,635
1703,1761172169.336792,29091059556000,3,638
1711,1761172169.440472,29091326087000,7,645
1714,1761172169.560801,29091426045000,2,647
1717,1761172169.564447,29091525996000,2,649
1718,1761172169.638766,29091559313000,0,649
1721,1761172169.709708,29091659261000,2,651
1722,1761172169.795058,29091692581000,0,653
1723,1761172169.846735,29091725896000,0,653
1726,1761172169.953199,29091825850000,2,655
1729,1761172170.046200,29091925798000,2,655
1733,1761172170.058909,29092059081000,3,658
1735,1761172170.219146,29092125709000,1,659
1739,1761172170.325864,29092258980000,3,662
1741,1761172170.373323,29092325612000,1,663
1744,1761172170.447364,29092425572000,2,665
1746,1761172170.451089,29092492197000,1,666
1748,1761172170.470978,29092558828000,1,667
1749,1761172170.523654,29092592147000,0,667
1750,1761172170.547226,29092625464000,0,667
1751,1761172170.554868,29092658786000,0,667
1752,1761172170.584499,29092692101000,0,667
1753,1761172170.648556,29092725430000,0,667
1754,1761172170.649154,29092758739000,0,667
1755,1761172170.672215,29092792061000,0,667
1756,1761172170.726923,29092825374000,0,667
1757,1761172170.741812,29092858690000,0,667
1758,1761172170.780106,29092892009000,0,667
1759,1761172170.840184,29092925328000,0,667
1760,1761172170.846164,29092958638000,0,667
1761,1761172170.870807,29092991957000,0,667
1762,1761172170.930988,29093025274000,0,667
1763,1761172170.951276,29093058595000,0,667
1764,1761172170.974395,29093091915000,0,667
1765,1761172170.998828,29093125226000,0,667
1766,1761172171.048098,29093158544000,0,667
1767,1761172171.078840,29093191864000,0,667
1768,1761172171.153658,29093225178000,0,667
1769,1761172171.167490,29093258498000,0,667
1770,1761172171.183996,29093291819000,0,667
1771,1761172171.245473,29093325137000,0,667
1772,1761172171.247968,29093358450000,0,667
1773,1761172171.277387,29093391766000,0,667
1775,1761172171.351096,29093458406000,0,667
1774,1761172171.351543,29093425101000,0,667
1776,1761172171.386062,29093491724000,0,667
1777,1761172171.465487,29093525042000,0,667
1778,1761172171.483858,29093558353000,0,667
1779,1761172171.484531,29093591674000,0,667
1780,1761172171.560719,29093624990000,0,667
1781,1761172171.568039,29093658317000,0,667
1782,1761172171.585658,29093691623000,0,667
1783,1761172171.606190,29093724941000,0,667
1784,1761172171.655226,29093758270000,0,667
1785,1761172171.680195,29093791582000,0,667
1786,1761172171.712057,29093824894000,0,667
1787,1761172171.751998,29093858209000,0,667
1788,1761172171.779217,29093891529000,0,667
1789,1761172171.894948,29093924849000,0,667
1791,1761172172.021668,29093991480000,1,668
1795,1761172172.125203,29094124750000,3,671
1797,1761172172.146910,29094191398000,1,672
1798,1761172172.147096,29094224718000,0,672
