frame_number,write_time_unix,sensor_timestamp_ns,dropped_since_last,total_hardware_drops
796,1760559546.918674,22232996506000,0,0
797,1760559546.962507,22233029820000,0,0
805,1760559547.092330,22233296366000,7,7
808,1760559547.234686,22233396326000,2,9
810,1760559547.270846,22233462963000,0,9
814,1760559547.292096,22233596239000,3,12
815,1760559547.319089,22233629552000,0,12
816,1760559547.359481,22233662872000,0,12
818,1760559547.465051,22233729509000,1,13
819,1760559547.472647,22233762828000,0,13
820,1760559547.675625,22233796152000,0,13
821,1760559547.696678,22233829475000,0,13
825,1760559547.836462,22233962741000,3,16
827,1760559547.920732,22234029388000,1,17
832,1760559547.963516,22234195965000,1,18
834,1760559548.153898,22234262624000,1,19
839,1760559548.211496,22234429203000,1,20
840,1760559548.314691,22234462517000,0,20
845,1760559548.421445,22234629111000,0,20
846,1760559548.675334,22234662431000,0,20
853,1760559548.780221,22234895660000,2,22
856,1760559548.939745,22234995615000,2,24
862,1760559549.035434,22235195536000,3,27
865,1760559549.077124,22235295488000,2,29
867,1760559549.206974,22235362113000,1,30
871,1760559549.330003,22235495389000,2,32
873,1760559549.534154,22235562019000,1,33
879,1760559549.619082,22235761942000,1,34
882,1760559549.752834,22235861896000,2,36
884,1760559549.808007,22235928530000,1,37
885,1760559550.003212,22235961845000,0,37
887,1760559550.352344,22236028488000,1,38
904,1760559550.408014,22236594925000,5,43
906,1760559551.177226,22236661535000,1,44
