frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total,is_duplicate
64,1758850627.265104,2025-09-26T01:37:07.265+00:00,0.040000,0.032209,-0.007791,0.000043,,0.021281,0,,,,,,,40,1
65,1758850627.303443,2025-09-26T01:37:07.303+00:00,0.040000,0.038339,-0.001661,0.000074,0.062933,0.029633,0,,25,1758850627.243676,0.059768,9.349562,0,40,0
66,1758850627.344054,2025-09-26T01:37:07.344+00:00,0.040000,0.040612,0.000612,0.000039,,0.020574,0,,,,,,,41,1
67,1758850627.384377,2025-09-26T01:37:07.384+00:00,0.040000,0.040321,0.000321,0.000059,0.012711,0.024922,0,,26,1758850627.382061,0.002316,9.240947,0,41,0
68,1758850627.428657,2025-09-26T01:37:07.428+00:00,0.040000,0.044281,0.004281,0.004982,,0.014406,0,,,,,,,42,1
69,1758850627.463634,2025-09-26T01:37:07.463+00:00,0.040000,0.034976,-0.005024,0.000193,,0.019618,0,,,,,,,43,1
70,1758850627.503523,2025-09-26T01:37:07.503+00:00,0.040000,0.039888,-0.000112,0.000129,0.048672,0.018053,0,,27,1758850627.457783,0.045740,9.348912,0,43,0
71,1758850627.543452,2025-09-26T01:37:07.543+00:00,0.040000,0.039930,-0.000070,0.000067,,0.014037,0,,,,,,,44,1
72,1758850627.583470,2025-09-26T01:37:07.583+00:00,0.040000,0.040018,0.000018,0.000071,0.036342,0.016330,0,,28,1758850627.556531,0.026939,9.375585,0,44,0
73,1758850627.623667,2025-09-26T01:37:07.623+00:00,0.040000,0.040194,0.000194,0.000153,,0.025731,0,,,,,,,45,1
74,1758850627.666504,2025-09-26T01:37:07.666+00:00,0.040000,0.042838,0.002838,0.000102,,0.012868,0,,,,,,,46,1
75,1758850627.703520,2025-09-26T01:37:07.703+00:00,0.040000,0.037015,-0.002985,0.000094,0.053412,0.016303,0,,29,1758850627.651619,0.051900,9.412053,0,46,0
76,1758850627.744946,2025-09-26T01:37:07.744+00:00,0.040000,0.041429,0.001429,0.000284,,0.017484,0,,,,,,,47,1
77,1758850627.783512,2025-09-26T01:37:07.783+00:00,0.040000,0.038566,-0.001434,0.000154,,0.020565,0,,,,,,,48,1
78,1758850627.823561,2025-09-26T01:37:07.823+00:00,0.040000,0.040050,0.000050,0.000048,0.029040,0.021378,0,,30,1758850627.795916,0.027646,9.297241,0,48,0
79,1758850627.863399,2025-09-26T01:37:07.863+00:00,0.040000,0.039838,-0.000162,0.000046,,0.033418,0,,,,,,,49,1
80,1758850627.910301,2025-09-26T01:37:07.910+00:00,0.040000,0.046900,0.006900,0.002015,0.028549,0.023281,0,,31,1758850627.885084,0.025217,9.350532,0,49,0
81,1758850627.943561,2025-09-26T01:37:07.943+00:00,0.040000,0.033260,-0.006740,0.000070,,0.026813,0,,,,,,,50,1
82,1758850627.986286,2025-09-26T01:37:07.986+00:00,0.040000,0.042726,0.002726,0.002810,,0.022566,0,,,,,,,51,1
83,1758850628.023449,2025-09-26T01:37:08.023+00:00,0.040000,0.037162,-0.002838,0.000093,0.056428,0.021421,0,,32,1758850627.984663,0.038786,9.371355,0,51,0
84,1758850628.067426,2025-09-26T01:37:08.067+00:00,0.040000,0.043977,0.003977,0.000054,,0.019190,0,,,,,,,52,1
85,1758850628.103578,2025-09-26T01:37:08.103+00:00,0.040000,0.036151,-0.003849,0.000126,0.029692,0.019700,0,,33,1758850628.086492,0.017087,9.384767,0,52,0
86,1758850628.143574,2025-09-26T01:37:08.143+00:00,0.040000,0.039998,-0.000002,0.000081,,0.010857,0,,,,,,,53,1
87,1758850628.184175,2025-09-26T01:37:08.184+00:00,0.040000,0.040598,0.000598,0.000080,0.021812,0.022996,0,,34,1758850628.169283,0.014891,9.448623,0,53,0
88,1758850628.223423,2025-09-26T01:37:08.223+00:00,0.040000,0.039249,-0.000751,0.000063,,0.036704,0,,,,,,,54,1
89,1758850628.266348,2025-09-26T01:37:08.266+00:00,0.040000,0.042924,0.002924,0.002226,0.033474,0.020938,0,,35,1758850628.242877,0.023471,9.534047,0,54,0
90,1758850628.303425,2025-09-26T01:37:08.303+00:00,0.040000,0.037079,-0.002921,0.000061,,0.025006,0,,,,,,,55,1
91,1758850628.346294,2025-09-26T01:37:08.346+00:00,0.040000,0.042868,0.002868,0.002928,0.024619,0.017015,0,,36,1758850628.338274,0.008020,9.558760,0,55,0
92,1758850628.384062,2025-09-26T01:37:08.384+00:00,0.040000,0.037767,-0.002233,0.000212,,0.020437,0,,,,,,,56,1
93,1758850628.427114,2025-09-26T01:37:08.427+00:00,0.040000,0.043053,0.003053,0.000618,0.014929,0.022025,0,,37,1758850628.419882,0.007231,9.617512,0,56,0
94,1758850628.463412,2025-09-26T01:37:08.463+00:00,0.040000,0.036298,-0.003702,0.000057,,0.015217,0,,,,,,,57,1
95,1758850628.503812,2025-09-26T01:37:08.503+00:00,0.040000,0.040400,0.000400,0.000154,,0.010272,0,,,,,,,58,1
96,1758850628.543443,2025-09-26T01:37:08.543+00:00,0.040000,0.039632,-0.000368,0.000030,0.056313,0.007749,0,,38,1758850628.488369,0.055073,9.707060,0,58,0
97,1758850628.584611,2025-09-26T01:37:08.584+00:00,0.040000,0.041168,0.001168,0.000052,,0.008338,0,,,,,,,59,1
98,1758850628.624812,2025-09-26T01:37:08.624+00:00,0.040000,0.040198,0.000198,0.001444,,0.011509,0,,,,,,,60,1
99,1758850628.663400,2025-09-26T01:37:08.663+00:00,0.040000,0.038592,-0.001408,0.000046,0.035990,0.010899,0,,39,1758850628.629084,0.034316,9.614476,0,60,0
100,1758850628.703381,2025-09-26T01:37:08.703+00:00,0.040000,0.039981,-0.000019,0.000033,,0.002728,0,,,,,,,61,1
101,1758850628.744004,2025-09-26T01:37:08.744+00:00,0.040000,0.040621,0.000621,0.000203,0.017383,0.005601,0,,40,1758850628.732377,0.011627,9.616176,0,61,0
102,1758850628.783697,2025-09-26T01:37:08.783+00:00,0.040000,0.039694,-0.000306,0.000224,,0.017525,0,,,,,,,62,1
103,1758850628.826946,2025-09-26T01:37:08.826+00:00,0.040000,0.043247,0.003247,0.000418,,0.012415,0,,,,,,,63,1
104,1758850628.863391,2025-09-26T01:37:08.863+00:00,0.040000,0.036449,-0.003551,0.000045,0.052339,0.007593,0,,41,1758850628.813472,0.049919,9.669400,0,63,0
105,1758850628.904793,2025-09-26T01:37:08.904+00:00,0.040000,0.041401,0.001401,0.001062,,0.002287,0,,,,,,,64,1
106,1758850628.946353,2025-09-26T01:37:08.946+00:00,0.040000,0.041558,0.001558,0.002743,,0.005471,0,,,,,,,65,1
107,1758850628.983983,2025-09-26T01:37:08.983+00:00,0.040000,0.037631,-0.002369,0.000336,0.086037,0.006604,0,,42,1758850628.915727,0.068255,9.672054,0,65,0
108,1758850629.035885,2025-09-26T01:37:09.035+00:00,0.040000,0.051903,0.011903,0.011280,0.049399,0.009906,0,,43,1758850628.988512,0.047373,9.740708,0,65,0
109,1758850629.063450,2025-09-26T01:37:09.063+00:00,0.040000,0.027562,-0.012438,0.000076,,0.002961,0,,,,,,,66,1
110,1758850629.103424,2025-09-26T01:37:09.103+00:00,0.040000,0.039977,-0.000023,0.000062,0.020311,0.002486,0,,44,1758850629.084674,0.018751,9.755073,0,66,0
111,1758850629.143398,2025-09-26T01:37:09.143+00:00,0.040000,0.039974,-0.000026,0.000045,,0.002861,0,,,,,,,67,1
112,1758850629.183390,2025-09-26T01:37:09.183+00:00,0.040000,0.039991,-0.000009,0.000040,,0.006847,1,,,,,,,68,1
