frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total,is_duplicate
1,1758850624.753892,2025-09-26T01:37:04.753+00:00,0.040000,,,0.007561,0.119864,0.004953,0,,1,1758850624.676711,0.077182,0.000000,0,0,0
2,1758850624.783416,2025-09-26T01:37:04.783+00:00,0.040000,0.029524,-0.010476,0.000052,,0.017799,0,,,,,,,1,1
3,1758850624.823439,2025-09-26T01:37:04.823+00:00,0.040000,0.040023,0.000023,0.000069,,0.011543,0,,,,,,,2,1
4,1758850624.870339,2025-09-26T01:37:04.870+00:00,0.040000,0.046899,0.006899,0.000074,0.053005,0.004685,0,,2,1758850624.822069,0.048270,6.879551,0,2,0
5,1758850624.903450,2025-09-26T01:37:04.903+00:00,0.040000,0.033111,-0.006889,0.000070,,0.004847,0,,,,,,,3,1
6,1758850624.943633,2025-09-26T01:37:04.943+00:00,0.040000,0.040182,0.000182,0.000156,,0.014728,0,,,,,,,4,1
7,1758850624.983406,2025-09-26T01:37:04.983+00:00,0.040000,0.039776,-0.000224,0.000054,0.050084,0.017956,0,,3,1758850624.936504,0.046902,7.698421,0,4,0
8,1758850625.023956,2025-09-26T01:37:05.023+00:00,0.040000,0.040548,0.000548,0.000143,,0.020150,0,,,,,,,5,1
9,1758850625.063872,2025-09-26T01:37:05.063+00:00,0.040000,0.039917,-0.000083,0.000043,,0.016693,0,,,,,,,6,1
10,1758850625.103437,2025-09-26T01:37:05.103+00:00,0.040000,0.039565,-0.000435,0.000077,0.057763,0.018521,0,,4,1758850625.051995,0.051442,7.993942,0,6,0
11,1758850625.150283,2025-09-26T01:37:05.150+00:00,0.040000,0.046846,0.006846,0.000045,,0.009961,0,,,,,,,7,1
12,1758850625.183454,2025-09-26T01:37:05.183+00:00,0.040000,0.033171,-0.006829,0.000060,,0.015100,0,,,,,,,8,1
13,1758850625.227792,2025-09-26T01:37:05.227+00:00,0.040000,0.044338,0.004338,0.000231,0.053602,0.021093,0,,5,1758850625.177485,0.050307,7.987629,0,8,0
14,1758850625.267954,2025-09-26T01:37:05.267+00:00,0.040000,0.040161,0.000161,0.004596,,0.019620,0,,,,,,,9,1
15,1758850625.308188,2025-09-26T01:37:05.308+00:00,0.040000,0.040232,0.000232,0.001643,,0.006975,0,,,,,,,10,1
16,1758850625.345820,2025-09-26T01:37:05.345+00:00,0.040000,0.037634,-0.002366,0.002459,0.056683,0.021745,0,,6,1758850625.291614,0.054207,8.131364,0,10,0
17,1758850625.383411,2025-09-26T01:37:05.383+00:00,0.040000,0.037592,-0.002408,0.000048,,0.034080,0,,,,,,,11,1
18,1758850625.423428,2025-09-26T01:37:05.423+00:00,0.040000,0.040017,0.000017,0.000062,0.022464,0.027225,0,,7,1758850625.407467,0.015961,8.210666,0,11,0
19,1758850625.464499,2025-09-26T01:37:05.464+00:00,0.040000,0.041071,0.001071,0.001146,,0.014796,0,,,,,,,12,1
20,1758850625.506922,2025-09-26T01:37:05.506+00:00,0.040000,0.042423,0.002423,0.002709,,0.016384,0,,,,,,,13,1
21,1758850625.543969,2025-09-26T01:37:05.543+00:00,0.040000,0.037046,-0.002954,0.000567,0.043178,0.008933,0,,8,1758850625.505842,0.038127,8.442570,0,13,0
22,1758850625.583411,2025-09-26T01:37:05.583+00:00,0.040000,0.039444,-0.000556,0.000046,,0.002349,0,,,,,,,14,1
23,1758850625.626268,2025-09-26T01:37:05.626+00:00,0.040000,0.042857,0.002857,0.002876,,0.002512,0,,,,,,,15,1
24,1758850625.664207,2025-09-26T01:37:05.664+00:00,0.040000,0.037938,-0.002062,0.000125,0.049682,0.006035,0,,9,1758850625.615757,0.048450,8.519279,0,15,0
25,1758850625.703429,2025-09-26T01:37:05.703+00:00,0.040000,0.039223,-0.000777,0.000054,,0.002105,0,,,,,,,16,1
26,1758850625.745185,2025-09-26T01:37:05.745+00:00,0.040000,0.041755,0.001755,0.000097,,0.007444,0,,,,,,,17,1
27,1758850625.783405,2025-09-26T01:37:05.783+00:00,0.040000,0.038221,-0.001779,0.000053,0.050214,0.007360,0,,10,1758850625.739454,0.043951,8.468648,0,17,0
28,1758850625.825039,2025-09-26T01:37:05.825+00:00,0.040000,0.041635,0.001635,0.000050,,0.010665,0,,,,,,,18,1
29,1758850625.867455,2025-09-26T01:37:05.867+00:00,0.040000,0.042415,0.002415,0.000096,,0.012290,0,,,,,,,19,1
30,1758850625.905134,2025-09-26T01:37:05.905+00:00,0.040000,0.037680,-0.002320,0.001700,0.048288,0.002584,0,,11,1758850625.859948,0.045186,8.451390,0,19,0
31,1758850625.946278,2025-09-26T01:37:05.946+00:00,0.040000,0.041142,0.001142,0.002922,,0.002639,0,,,,,,,20,1
32,1758850625.983570,2025-09-26T01:37:05.983+00:00,0.040000,0.037292,-0.002708,0.000082,,0.013217,0,,,,,,,21,1
33,1758850626.030330,2025-09-26T01:37:06.030+00:00,0.040000,0.046761,0.006761,0.000077,0.056725,0.006669,0,,12,1758850625.982024,0.048306,8.427094,0,21,0
34,1758850626.063420,2025-09-26T01:37:06.063+00:00,0.040000,0.033089,-0.006911,0.000054,,0.006835,0,,,,,,,22,1
35,1758850626.106990,2025-09-26T01:37:06.106+00:00,0.040000,0.043569,0.003569,0.000712,,0.012186,0,,,,,,,23,1
36,1758850626.143406,2025-09-26T01:37:06.143+00:00,0.040000,0.036417,-0.003583,0.000053,0.043885,0.016072,0,,13,1758850626.102120,0.041286,8.418633,0,23,0
37,1758850626.183655,2025-09-26T01:37:06.183+00:00,0.040000,0.040247,0.000247,0.000214,,0.012475,0,,,,,,,24,1
38,1758850626.223503,2025-09-26T01:37:06.223+00:00,0.040000,0.039849,-0.000151,0.000079,,0.009136,0,,,,,,,25,1
39,1758850626.266264,2025-09-26T01:37:06.266+00:00,0.040000,0.042762,0.002762,0.000314,0.048637,0.012585,0,,14,1758850626.220459,0.045805,8.421060,0,25,0
40,1758850626.303412,2025-09-26T01:37:06.303+00:00,0.040000,0.037149,-0.002851,0.000051,,0.018929,0,,,,,,,26,1
41,1758850626.344180,2025-09-26T01:37:06.344+00:00,0.040000,0.040768,0.000768,0.000059,0.019989,0.006215,0,,15,1758850626.327584,0.016596,8.480361,0,26,0
42,1758850626.383454,2025-09-26T01:37:06.383+00:00,0.040000,0.039274,-0.000726,0.000037,,0.003896,0,,,,,,,27,1
43,1758850626.423931,2025-09-26T01:37:06.423+00:00,0.040000,0.040475,0.000475,0.000442,,0.014403,0,,,,,,,28,1
44,1758850626.463618,2025-09-26T01:37:06.463+00:00,0.040000,0.039688,-0.000312,0.000254,0.053492,0.013909,0,,16,1758850626.412989,0.050629,8.639168,0,28,0
45,1758850626.505070,2025-09-26T01:37:06.505+00:00,0.040000,0.041453,0.001453,0.001670,,0.029201,0,,,,,,,29,1
46,1758850626.544417,2025-09-26T01:37:06.544+00:00,0.040000,0.039346,-0.000654,0.000916,,0.011631,0,,,,,,,30,1
47,1758850626.583401,2025-09-26T01:37:06.583+00:00,0.040000,0.038985,-0.001015,0.000054,0.064503,0.010424,0,,17,1758850626.541814,0.041587,8.578615,0,30,0
48,1758850626.626422,2025-09-26T01:37:06.626+00:00,0.040000,0.043021,0.003021,0.001773,0.015049,0.016619,0,,18,1758850626.612939,0.013483,8.779954,0,30,0
49,1758850626.665436,2025-09-26T01:37:06.665+00:00,0.040000,0.039013,-0.000987,0.002083,,0.004426,0,,,,,,,31,1
50,1758850626.705048,2025-09-26T01:37:06.705+00:00,0.040000,0.039611,-0.000389,0.000057,,0.016523,0,,,,,,,32,1
51,1758850626.744254,2025-09-26T01:37:06.744+00:00,0.040000,0.039208,-0.000792,0.000077,0.045803,0.014232,0,,19,1758850626.704884,0.039370,8.874981,0,32,0
52,1758850626.786395,2025-09-26T01:37:06.786+00:00,0.040000,0.042141,0.002141,0.000081,,0.013021,0,,,,,,,33,1
53,1758850626.826339,2025-09-26T01:37:06.826+00:00,0.040000,0.039943,-0.000057,0.000070,0.018304,0.006806,0,,20,1758850626.814532,0.011807,8.887553,0,33,0
54,1758850626.863396,2025-09-26T01:37:06.863+00:00,0.040000,0.037058,-0.002942,0.000044,,0.008713,0,,,,,,,34,1
55,1758850626.912540,2025-09-26T01:37:06.912+00:00,0.040000,0.049143,0.009143,0.002269,0.024338,0.003656,0,,21,1758850626.889605,0.022935,9.037938,0,34,0
56,1758850626.943432,2025-09-26T01:37:06.943+00:00,0.040000,0.030891,-0.009109,0.000065,,0.016888,0,,,,,,,35,1
57,1758850626.983384,2025-09-26T01:37:06.983+00:00,0.040000,0.039953,-0.000047,0.000039,0.020574,0.015924,0,,22,1758850626.964167,0.019217,9.180504,0,35,0
58,1758850627.024584,2025-09-26T01:37:07.024+00:00,0.040000,0.041199,0.001199,0.000171,,0.030830,0,,,,,,,36,1
59,1758850627.064580,2025-09-26T01:37:07.064+00:00,0.040000,0.039997,-0.000003,0.001201,,0.027905,0,,,,,,,37,1
60,1758850627.103407,2025-09-26T01:37:07.103+00:00,0.040000,0.038828,-0.001172,0.000050,0.046530,0.014999,0,,23,1758850627.066296,0.037111,9.206619,0,37,0
61,1758850627.143397,2025-09-26T01:37:07.143+00:00,0.040000,0.039990,-0.000010,0.000042,,0.014134,0,,,,,,,38,1
62,1758850627.183402,2025-09-26T01:37:07.183+00:00,0.040000,0.040006,0.000006,0.000050,0.022622,0.010702,0,,24,1758850627.169058,0.014344,9.228247,0,38,0
63,1758850627.232895,2025-09-26T01:37:07.232+00:00,0.040000,0.049493,0.009493,0.001521,,0.011774,0,,,,,,,39,1
