frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total,is_duplicate
42,1758850626.300911,2025-09-26T01:37:06.300+00:00,0.040000,0.039988,-0.000012,0.000061,,0.009160,0,,,,,,,28,1
43,1758850626.340918,2025-09-26T01:37:06.340+00:00,0.040000,0.040007,0.000007,0.000077,0.036185,0.023373,0,,15,1758850626.306570,0.034348,8.152319,0,28,0
44,1758850626.380875,2025-09-26T01:37:06.380+00:00,0.040000,0.039957,-0.000043,0.000045,,0.016505,0,,,,,,,29,1
45,1758850626.421331,2025-09-26T01:37:06.421+00:00,0.040000,0.040454,0.000454,0.000117,0.043795,0.013096,0,,16,1758850626.379580,0.041750,8.378422,0,29,0
46,1758850626.465080,2025-09-26T01:37:06.465+00:00,0.040000,0.043751,0.003751,0.003456,,0.006993,0,,,,,,,30,1
47,1758850626.504179,2025-09-26T01:37:06.504+00:00,0.040000,0.039098,-0.000902,0.003305,,0.037475,0,,,,,,,31,1
48,1758850626.543576,2025-09-26T01:37:06.543+00:00,0.040000,0.039398,-0.000602,0.001146,0.051995,0.007115,0,,17,1758850626.496597,0.046979,8.388689,0,31,0
49,1758850626.580911,2025-09-26T01:37:06.580+00:00,0.040000,0.037335,-0.002665,0.000056,,0.011913,0,,,,,,,32,1
50,1758850626.620904,2025-09-26T01:37:06.620+00:00,0.040000,0.039993,-0.000007,0.000073,0.036896,0.006765,0,,18,1758850626.585987,0.034917,8.513963,0,32,0
51,1758850626.661024,2025-09-26T01:37:06.661+00:00,0.040000,0.040120,0.000120,0.000097,,0.021530,0,,,,,,,33,1
52,1758850626.700881,2025-09-26T01:37:06.700+00:00,0.040000,0.039858,-0.000142,0.000043,0.043197,0.014787,0,,19,1758850626.659498,0.041384,8.694683,0,33,0
53,1758850626.740870,2025-09-26T01:37:06.740+00:00,0.040000,0.039988,-0.000012,0.000040,,0.015913,0,,,,,,,34,1
54,1758850626.782330,2025-09-26T01:37:06.782+00:00,0.040000,0.041456,0.001456,0.000088,,0.027398,0,,,,,,,35,1
55,1758850626.827623,2025-09-26T01:37:06.827+00:00,0.040000,0.045297,0.005297,0.005317,0.053385,0.018303,0,,20,1758850626.778030,0.049593,8.680704,0,35,0
56,1758850626.860880,2025-09-26T01:37:06.860+00:00,0.040000,0.033256,-0.006744,0.000046,,0.037593,0,,,,,,,36,1
57,1758850626.900866,2025-09-26T01:37:06.900+00:00,0.040000,0.039987,-0.000013,0.000042,0.035166,0.040715,1,,21,1758850626.871299,0.029567,8.764119,0,36,0
58,1758850626.941761,2025-09-26T01:37:06.941+00:00,0.040000,0.040895,0.000895,0.000821,,0.036267,0,,,,,,,37,1
59,1758850626.984090,2025-09-26T01:37:06.984+00:00,0.040000,0.042330,0.002330,0.001837,0.045969,0.026786,0,,22,1758850626.939865,0.044225,8.933896,0,37,0
60,1758850627.020891,2025-09-26T01:37:07.020+00:00,0.040000,0.036800,-0.003200,0.000052,,0.015906,0,,,,,,,38,1
61,1758850627.063473,2025-09-26T01:37:07.063+00:00,0.040000,0.042581,0.002581,0.000052,0.040533,0.012645,0,,23,1758850627.034764,0.028709,8.996127,0,38,0
62,1758850627.100997,2025-09-26T01:37:07.100+00:00,0.040000,0.037525,-0.002475,0.000036,,0.029794,0,,,,,,,39,1
63,1758850627.142141,2025-09-26T01:37:07.142+00:00,0.040000,0.041143,0.001143,0.000064,,0.035125,0,,,,,,,40,1
64,1758850627.180947,2025-09-26T01:37:07.180+00:00,0.040000,0.038806,-0.001194,0.000088,0.050770,0.041844,1,,24,1758850627.134268,0.046679,9.037324,0,40,0
65,1758850627.230346,2025-09-26T01:37:07.230+00:00,0.040000,0.049399,0.009399,0.009490,,0.020101,0,,,,,,,41,1
66,1758850627.260902,2025-09-26T01:37:07.260+00:00,0.040000,0.030555,-0.009445,0.000060,0.050659,0.013285,0,,25,1758850627.217676,0.043225,9.130998,0,41,0
67,1758850627.305882,2025-09-26T01:37:07.305+00:00,0.040000,0.044981,0.004981,0.000094,,0.021488,0,,,,,,,42,1
68,1758850627.342254,2025-09-26T01:37:07.342+00:00,0.040000,0.036372,-0.003628,0.001151,,0.011718,0,,,,,,,43,1
69,1758850627.382551,2025-09-26T01:37:07.382+00:00,0.040000,0.040296,0.000296,0.001677,0.037423,0.010522,0,,26,1758850627.349255,0.033296,9.058012,0,43,0
70,1758850627.422323,2025-09-26T01:37:07.422+00:00,0.040000,0.039773,-0.000227,0.000066,,0.004309,0,,,,,,,44,1
71,1758850627.460876,2025-09-26T01:37:07.460+00:00,0.040000,0.038554,-0.001446,0.000048,0.037553,0.015516,0,,27,1758850627.428597,0.032279,9.157090,0,44,0
72,1758850627.501074,2025-09-26T01:37:07.501+00:00,0.040000,0.040197,0.000197,0.000171,,0.004352,0,,,,,,,45,1
73,1758850627.542353,2025-09-26T01:37:07.542+00:00,0.040000,0.041280,0.001280,0.000082,0.032091,0.009019,0,,28,1758850627.520303,0.022050,9.211761,0,45,0
74,1758850627.580963,2025-09-26T01:37:07.580+00:00,0.040000,0.038609,-0.001391,0.000097,,0.007937,0,,,,,,,46,1
75,1758850627.620960,2025-09-26T01:37:07.620+00:00,0.040000,0.039998,-0.000002,0.000095,,0.011811,0,,,,,,,47,1
76,1758850627.660902,2025-09-26T01:37:07.660+00:00,0.040000,0.039943,-0.000057,0.000068,0.038613,0.007660,0,,29,1758850627.633649,0.027253,9.197269,0,47,0
77,1758850627.701066,2025-09-26T01:37:07.701+00:00,0.040000,0.040163,0.000163,0.000147,,0.004718,0,,,,,,,48,1
78,1758850627.742317,2025-09-26T01:37:07.742+00:00,0.040000,0.041251,0.001251,0.000712,,0.005375,0,,,,,,,49,1
79,1758850627.780921,2025-09-26T01:37:07.780+00:00,0.040000,0.038604,-0.001396,0.000062,0.052267,0.002480,0,,30,1758850627.729961,0.050960,9.233628,0,49,0
80,1758850627.821394,2025-09-26T01:37:07.821+00:00,0.040000,0.040474,0.000474,0.000549,,0.006626,0,,,,,,,50,1
81,1758850627.860923,2025-09-26T01:37:07.860+00:00,0.040000,0.039529,-0.000471,0.000068,,0.007576,0,,,,,,,51,1
82,1758850627.908373,2025-09-26T01:37:07.908+00:00,0.040000,0.047449,0.007449,0.002115,0.063752,0.003169,0,,31,1758850627.846858,0.061515,9.209260,0,51,0
83,1758850627.941614,2025-09-26T01:37:07.941+00:00,0.040000,0.033240,-0.006760,0.000315,,0.008650,0,,,,,,,52,1
84,1758850627.980939,2025-09-26T01:37:07.980+00:00,0.040000,0.039326,-0.000674,0.000088,0.040703,0.010739,0,,32,1758850627.946623,0.034316,9.233456,0,52,0
