frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,gaze_timestamp_unix,gaze_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total,is_duplicate
1,1758834299.502043,2025-09-25T21:04:59.502+00:00,0.200000,,,0.001979,0.050673,0.157786,0,109,109,1758834299.410047,0.091996,1758834299.505927,-0.003883,29.975783,0,0,0
2,1758834299.703840,2025-09-25T21:04:59.703+00:00,0.200000,0.201797,0.001797,0.002936,0.112175,0.037044,0,113,113,1758834299.543414,0.160426,1758834299.661049,0.042791,30.046228,0,0,0
3,1758834299.900577,2025-09-25T21:04:59.900+00:00,0.200000,0.196738,-0.003262,0.002664,0.112197,0.032483,0,119,119,1758834299.743469,0.157108,1758834299.901304,-0.000727,30.033465,0,0,0
4,1758834300.105708,2025-09-25T21:05:00.105+00:00,0.200000,0.205131,0.005131,0.002049,0.056501,0.013473,0,127,127,1758834300.010214,0.095494,1758834300.126549,-0.020841,29.986785,0,0,0
