timestamp,x,y,worn
1758834299.3708043,881.993896484375,647.483154296875,0
1758834299.4059265,928.6094360351562,687.0498046875,0
1758834299.4359264,909.0068359375,674.4769287109375,0
1758834299.4759376,906.5402221679688,648.428466796875,0
1758834299.5059266,878.4386596679688,659.7595825195312,0
1758834299.5460486,885.6489868164062,663.6292114257812,0
1758834299.5860488,904.765869140625,664.172607421875,0
1758834299.6260488,887.8681640625,651.1368408203125,0
1758834299.6610487,895.9962768554688,664.3321533203125,0
1758834299.696182,919.2623291015625,643.9193725585938,0
1758834299.7861822,878.7117309570312,638.9462280273438,0
1758834299.8113043,893.0745849609375,662.3230590820312,0
1758834299.8513043,909.18408203125,663.521728515625,0
1758834299.8763154,925.783447265625,685.9510498046875,0
1758834299.9013042,883.495361328125,654.3614501953125,0
1758834299.9364264,870.0455932617188,651.9063110351562,0
1758834299.9614265,884.7656860351562,645.8323364257812,0
1758834300.0064266,891.6331787109375,674.9185791015625,0
1758834300.0264266,881.3480834960938,648.9205932617188,0
1758834300.0514264,901.7487182617188,657.7202758789062,0
1758834300.0715487,893.8424682617188,670.6056518554688,0
1758834300.1015487,930.4429931640625,673.8299560546875,0
1758834300.1265488,926.2445068359375,673.5110473632812,0
1758834300.1465487,943.9461669921875,664.3023681640625,0
1758834300.1915488,891.1460571289062,675.3518676757812,0
