frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,gaze_timestamp_unix,gaze_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total,is_duplicate
1,1758834297.406584,2025-09-25T21:04:57.406+00:00,0.200000,,,0.005084,0.055390,0.140912,0,46,46,1758834297.309498,0.097085,1758834297.398304,0.008280,30.012073,0,0,0
2,1758834297.608423,2025-09-25T21:04:57.608+00:00,0.200000,0.201840,0.001840,0.001738,0.034416,0.016887,0,52,52,1758834297.509543,0.098880,1758834297.574171,0.034251,29.621189,0,0,0
3,1758834297.807719,2025-09-25T21:04:57.807+00:00,0.200000,0.199297,-0.000703,0.002142,0.057788,0.017370,0,58,58,1758834297.709598,0.098121,1758834297.824426,-0.016707,29.960565,0,0,0
4,1758834298.003001,2025-09-25T21:04:58.003+00:00,0.200000,0.195282,-0.004718,0.001749,0.019175,0.022688,0,65,65,1758834297.942981,0.060020,1758834298.024549,-0.021548,30.024940,0,0,0
5,1758834298.205007,2025-09-25T21:04:58.205+00:00,0.200000,0.202005,0.002005,0.001764,0.018855,0.019367,0,71,71,1758834298.143036,0.061970,1758834298.229804,-0.024798,29.992916,0,0,0
6,1758834298.403140,2025-09-25T21:04:58.403+00:00,0.200000,0.198134,-0.001866,0.001627,0.020306,0.021286,0,77,77,1758834298.343092,0.060049,1758834298.424927,-0.021786,30.032762,0,0,0
