frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,gaze_timestamp_unix,gaze_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total
1,1758757935.049499,2025-09-24T23:52:15.049+00:00,0.200000,,,0.005915,0.033064,0.166763,0,129,129,1758757935.026750,0.022749,1758757935.137432,-0.087933,30.004892,0,27
2,1758757935.216434,2025-09-24T23:52:15.216+00:00,0.200000,0.166936,-0.033064,0.065212,0.081696,0.050691,0,134,134,1758757935.193461,0.022973,1758757935.267554,-0.051120,30.062244,0,27
3,1758757935.412623,2025-09-24T23:52:15.412+00:00,0.200000,0.196189,-0.003811,0.005554,0.019783,0.009656,0,141,141,1758757935.426861,-0.014238,1758757935.517809,-0.105186,30.024030,0,27
4,1758757935.562383,2025-09-24T23:52:15.562+00:00,0.200000,0.149759,-0.050241,0.009521,0.027796,0.019223,0,146,146,1758757935.593572,-0.031189,1758757935.667943,-0.105560,30.058026,0,27
5,1758757935.761112,2025-09-24T23:52:15.761+00:00,0.200000,0.198730,-0.001270,0.007794,0.017969,0.010354,0,152,152,1758757935.793612,-0.032500,1758757935.868065,-0.106953,30.100284,0,27
6,1758757935.986885,2025-09-24T23:52:15.986+00:00,0.200000,0.225772,0.025772,0.005741,0.014567,0.018216,0,159,159,1758757936.027011,-0.040127,1758757936.098320,-0.111436,30.009838,0,27
7,1758757936.187004,2025-09-24T23:52:16.187+00:00,0.200000,0.200120,0.000120,0.005387,0.014412,0.023912,0,165,165,1758757936.227067,-0.040063,1758757936.298443,-0.111439,29.986747,0,27
